track_id,energy,tempo,speechiness,acousticness,instrumentalness,danceability,loudness,valence
00Y2wpTbjFDOnNWgAXEhYZ,0.554,103.949,0.0327,0.0165,0.183,0.325,-8.945,0.144
00YeYHw6zhoy1y7EPTgIkj,0.599,112.017,0.138,0.402,0.000572,0.703,-8.687,0.312
00Z7agJM4usYHBpHKGNNX9,0.792,114.996,0.139,0.56,0.0,0.451,-3.689,0.667
00ZROeHf7xvMw5q8wAYf9O,0.836,143.98,0.0429,0.0218,0.0,0.695,-4.231,0.882
00amaRS950nVV6M4SlVvVl,0.276,34.082,0.18,0.799,0.0175,0.428,-16.654,0.0352
00aoFKbZxBH8vcfVAQg0HG,0.641,127.992,0.0528,0.00248,0.0,0.866,-7.673,0.411
00bOhb4584JjyfTiXX81mO,0.387,76.003,0.0386,0.424,0.0,0.629,-13.667,0.497
00c9VpjXk7iHdLEEzrAxbr,0.62,99.926,0.0504,0.283,0.0,0.587,-6.217,0.143
00cP5rqzL6ZrwMaqTEeGIN,0.976,111.992,0.17,4.62e-06,0.00034,0.513,-3.117,0.133
00cSN1TMyHZErfyJbLMB05,0.481,110.002,0.0295,0.345,0.41,0.814,-7.892,0.834
00chQGvija63zygRg8nyL6,0.485,87.138,0.233,0.528,0.0,0.745,-5.814,0.658
00d5xg90Mvl5bvK18oliSI,0.529,107.144,0.0252,0.727,5.68e-06,0.766,-6.388,0.767
00dgK4Nln0AJQvI66SLRDb,0.595,148.832,0.0475,0.00896,0.0,0.52,-6.19,0.166
00e8qdyKGWzRD5MBed6cED,0.757,120.022,0.106,0.0119,0.588,0.863,-7.597,0.347
00ekiamGK6UrV2F3QvaPvi,0.442,144.984,0.0294,0.451,0.177,0.573,-11.169,0.242
00epdN0YB5dJFAy9TldnbC,0.846,89.065,0.234,0.0983,0.0,0.869,-6.361,0.576
00f38vrgYqSytpeS2unGyw,0.349,200.178,0.244,0.104,0.76,0.468,-12.36,0.0719
00fNdIFKoMxxt8Hnm2kAKL,0.905,124.032,0.0357,0.00274,0.0,0.6,-3.41,0.636
00gwlKTiWvu6xqvsWy7ehA,0.871,134.013,0.0677,0.0531,0.0,0.515,-4.812,0.292
00h6syYCxPKVsInPHXhdZ1,0.837,171.341,0.038,0.000324,0.0,0.332,-3.437,0.551
